GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MemGres Core,com.memgres.sql.ast.expression,AggregateFunction.AggregateType,0,39,0,0,0,2,0,1,0,1
MemGres Core,com.memgres.sql.ast.expression,LiteralExpression,16,12,0,0,3,5,3,2,3,2
MemGres Core,com.memgres.sql.ast.expression,InSubqueryExpression,73,21,12,0,9,8,10,4,4,4
MemGres Core,com.memgres.sql.ast.expression,AggregateFunction,124,28,22,2,23,8,18,4,6,4
MemGres Core,com.memgres.sql.ast.expression,SubqueryExpression,37,9,6,0,7,4,7,2,4,2
MemGres Core,com.memgres.sql.ast.expression,ColumnReference,19,25,0,0,2,10,3,4,3,4
MemGres Core,com.memgres.sql.ast.expression,UnaryExpression,28,0,0,0,8,0,5,0,5,0
MemGres Core,com.memgres.sql.ast.expression,BinaryExpression,16,21,0,0,2,8,2,4,2,4
MemGres Core,com.memgres.sql.ast.expression,CaseExpression.WhenClause,15,0,0,0,6,0,3,0,3,0
MemGres Core,com.memgres.sql.ast.expression,CaseExpression,20,0,0,0,7,0,4,0,4,0
MemGres Core,com.memgres.sql.ast.expression,FunctionCall,15,12,0,0,3,5,3,2,3,2
MemGres Core,com.memgres.sql.ast.expression,ExistsExpression,37,9,6,0,7,4,7,2,4,2
MemGres Core,com.memgres.sql.ast.expression,LiteralExpression.LiteralType,0,33,0,0,0,2,0,1,0,1
MemGres Core,com.memgres.sql.ast.expression,UnaryExpression.Operator,0,21,0,0,0,2,0,1,0,1
MemGres Core,com.memgres.sql.ast.expression,BinaryExpression.Operator,0,141,0,0,0,8,0,1,0,1
MemGres Core,com.memgres.sql.ast.expression,Expression,0,3,0,0,0,1,0,1,0,1
MemGres Core,com.memgres.transaction,Transaction.TransactionState,0,21,0,0,0,4,0,1,0,1
MemGres Core,com.memgres.transaction,TransactionIsolationLevel,98,49,24,0,16,10,22,3,10,3
MemGres Core,com.memgres.transaction,TransactionManager,182,178,9,9,49,49,18,6,9,6
MemGres Core,com.memgres.transaction,Transaction,249,103,39,3,53,30,41,6,20,6
MemGres Core,com.memgres.transaction,TransactionContext,143,41,18,4,29,13,19,3,9,2
MemGres Core,com.memgres.storage.btree,BPlusTreeNode,376,357,33,31,71,72,32,23,10,13
MemGres Core,com.memgres.storage.btree,BPlusTree,186,626,25,57,52,156,22,44,3,22
MemGres Core,com.memgres.storage.btree,BPlusTreeIndex,19,616,16,40,9,139,16,36,0,24
MemGres Core,com.memgres.sql.ast.statement,UpdateStatement,0,26,0,0,0,9,0,5,0,5
MemGres Core,com.memgres.sql.ast.statement,GroupByClause,5,9,0,0,1,4,1,2,1,2
MemGres Core,com.memgres.sql.ast.statement,HavingClause,14,0,0,0,5,0,3,0,3,0
MemGres Core,com.memgres.sql.ast.statement,SelectItem,5,33,0,0,1,13,1,5,1,5
MemGres Core,com.memgres.sql.ast.statement,ColumnDefinition.Constraint,0,15,0,0,0,2,0,1,0,1
MemGres Core,com.memgres.sql.ast.statement,FromClause,55,9,4,0,12,4,5,2,3,2
MemGres Core,com.memgres.sql.ast.statement,OrderByClause.OrderItem,0,15,0,0,0,6,0,3,0,3
MemGres Core,com.memgres.sql.ast.statement,OrderByClause,5,9,0,0,1,4,1,2,1,2
MemGres Core,com.memgres.sql.ast.statement,DataTypeNode,79,15,4,0,20,6,8,2,6,2
MemGres Core,com.memgres.sql.ast.statement,Statement,0,3,0,0,0,1,0,1,0,1
MemGres Core,com.memgres.sql.ast.statement,LimitClause,5,15,0,0,1,6,1,3,1,3
MemGres Core,com.memgres.sql.ast.statement,DeleteStatement,0,20,0,0,0,7,0,4,0,4
MemGres Core,com.memgres.sql.ast.statement,WhereClause,5,9,0,0,1,4,1,2,1,2
MemGres Core,com.memgres.sql.ast.statement,InsertStatement,3,23,0,0,1,8,1,4,1,4
MemGres Core,com.memgres.sql.ast.statement,ColumnDefinition,5,21,0,0,1,8,1,4,1,4
MemGres Core,com.memgres.sql.ast.statement,CreateTableStatement,0,20,0,0,0,7,0,4,0,4
MemGres Core,com.memgres.sql.ast.statement,JoinClause,5,21,0,0,1,8,1,4,1,4
MemGres Core,com.memgres.sql.ast.statement,SelectStatement,3,53,0,0,1,18,1,9,1,9
MemGres Core,com.memgres.sql.ast.statement,TableReference,8,12,0,0,2,5,2,2,2,2
